	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-Clustering_100	9-TaxaFilter_100	10-MultipletonsFilter_100	11-Subsampling_100	12-Lulu_100
16S_45	162706	140812	140812	140812 (49237 uniques)	139335 (599 uniques)	135762 (525 uniques)	135589 (511 uniques)	134145 (466 uniques)	134145 (466 uniques)	134145 (466 uniques)	106489 (447 uniques)	106475 (440 uniques)	5000 (314 uniques)	5000 (297 uniques)
16S_46	65717	54478	54478	54478 (11997 uniques)	53886 (259 uniques)	52763 (198 uniques)	24686 (187 uniques)	24201 (179 uniques)	24201 (179 uniques)	24201 (179 uniques)	21507 (147 uniques)	21507 (147 uniques)	5000 (122 uniques)	5000 (116 uniques)
16S_47	225384	196725	196725	196725 (64067 uniques)	195312 (836 uniques)	191180 (752 uniques)	190975 (733 uniques)	188013 (669 uniques)	188013 (669 uniques)	188013 (669 uniques)	148654 (643 uniques)	148641 (635 uniques)	5000 (382 uniques)	5000 (363 uniques)
16S_48	97121	85334	85334	85334 (39326 uniques)	83973 (576 uniques)	81457 (526 uniques)	81331 (503 uniques)	80912 (486 uniques)	80912 (486 uniques)	80912 (486 uniques)	79522 (480 uniques)	79522 (480 uniques)	5000 (371 uniques)	5000 (347 uniques)
16S_49	273	88	88	88 (82 uniques)	17 (3 uniques)	11 (2 uniques)	11 (2 uniques)	11 (2 uniques)	11 (2 uniques)	11 (2 uniques)	11 (2 uniques)	11 (2 uniques)	/	/
16S_49_r	53199	40930	40930	40930 (8066 uniques)	40660 (172 uniques)	38626 (155 uniques)	4853 (151 uniques)	4853 (151 uniques)	4853 (151 uniques)	4853 (151 uniques)	4676 (145 uniques)	4676 (145 uniques)	/	/
16S_5	160486	140254	140254	140254 (45580 uniques)	138921 (612 uniques)	135856 (563 uniques)	135790 (542 uniques)	133340 (498 uniques)	133340 (498 uniques)	133340 (498 uniques)	99933 (472 uniques)	99916 (461 uniques)	5000 (323 uniques)	5000 (300 uniques)
16S_50	111004	98316	98316	98316 (22147 uniques)	97785 (158 uniques)	96734 (127 uniques)	96721 (123 uniques)	96712 (121 uniques)	96712 (121 uniques)	96712 (121 uniques)	8767 (113 uniques)	8767 (113 uniques)	5000 (113 uniques)	5000 (112 uniques)
16S_51	23991	20537	20537	20537 (6500 uniques)	20227 (122 uniques)	19959 (105 uniques)	16016 (102 uniques)	16016 (102 uniques)	16016 (102 uniques)	16016 (102 uniques)	15983 (100 uniques)	15983 (100 uniques)	5000 (95 uniques)	5000 (94 uniques)
16S_51_r	39816	33753	33753	33753 (11037 uniques)	33341 (143 uniques)	32768 (126 uniques)	28533 (123 uniques)	28317 (114 uniques)	28317 (114 uniques)	28317 (114 uniques)	28240 (111 uniques)	28240 (111 uniques)	5000 (98 uniques)	5000 (95 uniques)
16S_52	52990	43651	43651	43651 (7599 uniques)	43390 (138 uniques)	43193 (125 uniques)	19713 (118 uniques)	19713 (118 uniques)	19713 (118 uniques)	19713 (118 uniques)	19677 (114 uniques)	19677 (114 uniques)	5000 (101 uniques)	5000 (99 uniques)
