"","Genus","Species"
"Otu00622",NA,NA
"Otu00623","Ahrensia","kielensis/marina"
"Otu00624",NA,NA
"Otu00625","Parabacteroides","gordonii"
"Otu00626",NA,NA
"Otu00628",NA,NA
"Otu00629",NA,NA
"Otu00630",NA,NA
"Otu00631",NA,NA
"Otu00632",NA,NA
"Otu00633",NA,NA
"Otu00634",NA,NA
"Otu00635","Faecalibacterium","cf./prausnitzii"
"Otu00636",NA,NA
"Otu00637",NA,NA
"Otu00638",NA,NA
"Otu00641",NA,NA
"Otu00643",NA,NA
"Otu00645","Thalassotalea","loyana"
"Otu00647",NA,NA
"Otu00648",NA,NA
"Otu00649",NA,NA
"Otu00650",NA,NA
"Otu00651",NA,NA
"Otu00652",NA,NA
"Otu00653",NA,NA
"Otu00654",NA,NA
"Otu00655",NA,NA
"Otu00656",NA,NA
"Otu00657",NA,NA
"Otu00658",NA,NA
"Otu00659",NA,NA
"Otu00660",NA,NA
"Otu00661","Sphingomonas","kyeonggiensis/leidyi/pituitosa"
"Otu00662",NA,NA
"Otu00663",NA,NA
"Otu00665",NA,NA
"Otu00666",NA,NA
"Otu00667",NA,NA
"Otu00669",NA,NA
"Otu00670",NA,NA
"Otu00671",NA,NA
"Otu00672",NA,NA
"Otu00673",NA,NA
"Otu00675",NA,NA
"Otu00676",NA,NA
"Otu00677",NA,NA
"Otu00678",NA,NA
"Otu00679","Polynucleobacter","asymbioticus/cosmopolitanus/necessarius/sinensis/wuianus/yangtzensis"
"Otu00681",NA,NA
"Otu00682",NA,NA
"Otu00683",NA,NA
"Otu00684",NA,NA
"Otu00685",NA,NA
"Otu00686","Bilophila","wadsworthia"
"Otu00687","Acidovorax","defluvii/temperans"
"Otu00688",NA,NA
"Otu00689",NA,NA
"Otu00690",NA,NA
"Otu00691",NA,NA
"Otu00692",NA,NA
"Otu00694",NA,NA
"Otu00695",NA,NA
"Otu00696","Parabacteroides","distasonis"
"Otu00697",NA,NA
"Otu00698",NA,NA
"Otu00699",NA,NA
"Otu00700",NA,NA
"Otu00701",NA,NA
"Otu00702","Enterovibrio","coralii"
"Otu00703",NA,NA
"Otu00704",NA,NA
"Otu00705",NA,NA
