sample_number,sampleID,genus,phylum,nutrient_source,nutrient_percent,treatment,tank,experiment,type,description,notes,project,contact
5,SD_A_T2_C2,Aghardiella,Red,Deep Sea Water,20,NA,Tank 2,Stocking Density,limu,Aghardiella grown with deep sea water,Nov sampling trip,Ocean Era Nov22,Sean and Nic
60,SD_A_T2_C3,Aghardiella,Red,Deep Sea Water,20,NA,Tank 2,Stocking Density,limu,Aghardiella grown with deep sea water,Nov sampling trip,Ocean Era Nov22,Sean and Nic
109,SD_A_T2_WA,Aghardiella water,Red,Deep Sea Water,20,NA,Tank 2,Stocking Density,filter,Aghardiella grown with deep sea water,Nov sampling water,Ocean Era Nov22,Sean and Nic
76,SD_H_T1_C1,Halymenia,Red,Deep Sea Water,20,NA,Tank 1,Stocking Density,limu,Aghardiella grown with deep sea water,Nov sampling trip,Ocean Era Nov22,Sean and Nic
68,SD_H_T1_C2,Halymenia,Red,Deep Sea Water,20,NA,Tank 1,Stocking Density,limu,Aghardiella grown with deep sea water,Nov sampling trip,Ocean Era Nov22,Sean and Nic
15,SD_H_T1_C3,Halymenia,Red,Deep Sea Water,20,NA,Tank 1,Stocking Density,limu,Aghardiella grown with deep sea water,Nov sampling trip,Ocean Era Nov22,Sean and Nic
137,SD_H_T1_WA,Halymenia water,Red,Deep Sea Water,20,NA,Tank 1,Stocking Density,filter,Aghardiella grown with deep sea water,Nov sampling water,Ocean Era Nov22,Sean and Nic
37,SD_H_T2_4,Halymenia,Red,Deep Sea Water,20,NA,Tank 2,Stocking Density,limu,Aghardiella grown with deep sea water,Nov sampling trip,Ocean Era Nov22,Sean and Nic
29,SD_H_T2_C2,Halymenia,Red,Deep Sea Water,20,NA,Tank 2,Stocking Density,limu,Aghardiella grown with deep sea water,Nov sampling trip,Ocean Era Nov22,Sean and Nic
7,SD_H_T2_C3,Halymenia,Red,Deep Sea Water,20,NA,Tank 2,Stocking Density,limu,Aghardiella grown with deep sea water,Nov sampling trip,Ocean Era Nov22,Sean and Nic
102,SD_H_T2_WA,Halymenia water,Red,Deep Sea Water,20,NA,Tank 2,Stocking Density,filter,Aghardiella grown with deep sea water,Nov sampling water,Ocean Era Nov22,Sean and Nic
94,SE1_ULVA,Ulva,Green,Unknown,NA,NA,NA,NA,limu,Samples from freezer at Ocean Era,Collected by Ocean Era,Ocean Era Freezer,Sean and Nic
90,SE2_HALYM,Halymenia,Red,Unknown,NA,NA,NA,NA,limu,Samples from freezer at Ocean Era,Collected by Ocean Era,Ocean Era Freezer,Sean and Nic
92,SE3_CAUL,Caulerpa,Green,Unknown,NA,NA,NA,NA,limu,Samples from freezer at Ocean Era,Collected by Ocean Era,Ocean Era Freezer,Sean and Nic
88,SE4_CAUL,Caulerpa,Green,Unknown,NA,NA,NA,NA,limu,Samples from freezer at Ocean Era,Collected by Ocean Era,Ocean Era Freezer,Sean and Nic
