"Sample"	"3.1-Dereplication"	"3.2-Denoising"	"4-ESV"
"16S_120"	"196322 (74943 uniques)"	"192410 (1890 uniques)"	"182290 (1879 uniques)"
"16S_121"	"200597 (81174 uniques)"	"196173 (2385 uniques)"	"184706 (2326 uniques)"
"16S_122"	"127213 (49736 uniques)"	"124312 (1470 uniques)"	"117341 (1324 uniques)"
"16S_123"	"112664 (44478 uniques)"	"109187 (1181 uniques)"	"102455 (1156 uniques)"
"16S_124"	"104831 (45815 uniques)"	"102127 (1353 uniques)"	"94789 (1208 uniques)"
"16S_125"	"93323 (40819 uniques)"	"90001 (1284 uniques)"	"83798 (1118 uniques)"
"16S_126"	"156381 (62143 uniques)"	"152847 (1980 uniques)"	"143824 (1817 uniques)"
"16S_127"	"209800 (83917 uniques)"	"204752 (2371 uniques)"	"191528 (2241 uniques)"
"16S_128"	"129223 (54692 uniques)"	"125323 (1723 uniques)"	"116634 (1518 uniques)"
"16S_129"	"117629 (47155 uniques)"	"113988 (1722 uniques)"	"106688 (1491 uniques)"
"16S_12"	"62569 (10120 uniques)"	"62059 (178 uniques)"	"61654 (157 uniques)"
"16S_130"	"120417 (51771 uniques)"	"116431 (1647 uniques)"	"107559 (1428 uniques)"
"16S_131"	"130312 (47453 uniques)"	"127534 (1051 uniques)"	"121054 (1084 uniques)"
"16S_132"	"128402 (58575 uniques)"	"124891 (1340 uniques)"	"116350 (1208 uniques)"
"16S_133"	"113502 (45022 uniques)"	"111523 (1174 uniques)"	"105913 (1244 uniques)"
"16S_134"	"125052 (51651 uniques)"	"122102 (1617 uniques)"	"114850 (1484 uniques)"
"16S_135"	"176167 (71475 uniques)"	"172683 (2203 uniques)"	"162997 (2026 uniques)"
"16S_136"	"187029 (65026 uniques)"	"183251 (1786 uniques)"	"174201 (1834 uniques)"
"16S_137"	"147818 (48331 uniques)"	"145350 (933 uniques)"	"139289 (933 uniques)"
"16S_138"	"153705 (59432 uniques)"	"149975 (1834 uniques)"	"141316 (1779 uniques)"
"16S_139"	"89909 (40069 uniques)"	"86562 (1375 uniques)"	"80191 (1181 uniques)"
"16S_13"	"78862 (17634 uniques)"	"77906 (390 uniques)"	"76734 (341 uniques)"
"16S_140"	"149012 (41225 uniques)"	"147172 (492 uniques)"	"142619 (544 uniques)"
"16S_141"	"169853 (45801 uniques)"	"168160 (510 uniques)"	"163537 (568 uniques)"
"16S_142"	"196509 (40877 uniques)"	"194883 (371 uniques)"	"191031 (430 uniques)"
"16S_143"	"239821 (62686 uniques)"	"237457 (660 uniques)"	"230629 (797 uniques)"
"16S_144"	"266470 (70550 uniques)"	"264151 (713 uniques)"	"252798 (1090 uniques)"
"16S_145"	"194008 (60364 uniques)"	"191667 (815 uniques)"	"184395 (798 uniques)"
